Username,Comment
@Abbasiionyoutube,Hahahahaha 😅😅😅😂😂😂love from Pakistan maal road h😅😅haha
@sagarshortvedio_,Comedy 😂😂😂
@amitpanwar3942,Mast
@DeepakKumar-h9w6x,"Happy Birthday bhaiya 
🎉"
@EduAllofficial,😂😂😅
@biggboss5703,Majja aa gya sir
@nevillefernandes9665,Nice mazak!
@vineetsharma4741,I love you ... Ravi u are too good !!😊
@crewofdevil,Ye alag hai 😂😂😂
@vishnuuniversal123,Zakir Khan ❤
@pravakarpanda1446,Fantastic
@parvatiprasad5810,Bahut bahut achi comedy. Start to end I can't stop laughing
@meghnasingh6475,You r hilarious  Mr Gupta
@AlokShardaa,Ravi bhai video bahut achchi lagi.. sirf ek reason hai isme aap joke apne uper karte ho .. naaki dusoro ke uper .. or haan jaldi jaldi video daalo karo taaki hume dusaro ki video na dekhani pade...
@ArunKumar-r5i6m,He is like a arjit singh
@Jeetsharma_sr,18:06
@RAHULSHARMA-fj5mm,Bhai video bahut saaf suthri thi family k sath dekh sunn sakte hai.. And that thing i really like brother.. ❣️❣️❣️👌👌👌👌
@harshadnotmehta,I love to see Arijit Singh doing comedy
@VeronicaWallace-g7k,Howe Lodge
@VivekKumar-sd1cn,"Apsabd use kar hi diya & audience over react kar rahi h, specially Surpnakha .."
@OmegaKercher-j9x,Beatty Oval
@koushikM26,Absolute Comedy 😂
@indreshsahu5569,Love u  bhai over u yarrr😂😂😂🫡🫡🫶
@manaspradhan5058,Bahut sahi😅😂
@KaranThakur-yp2td,Gndi roasting h bhai 🤣🤣
@alishanegi8273,Bahut time bad itna hnsi😂😂😂
@samkhan-f8k,20:00 outstanding video bhai maja aa gaya bahut hasne ko mila😂
@Ritwik479,Bhai kabhi bihar bhi aaiye
@SatyavatiRanjan,Ayilaaa Arijit Singh from Meesho 😂😂
@vivekthapa3634,Mst comedy ❤
@niteshkumar-ev9rb,Mast vedio log Kaya bola mat suno aise logo ke sath jindgi jio
@archana9089,What a standup ! Watching at 3:30 am.
@Idrisi-d4h,Zabar10
@Mymoto29,"गज़ब बात करते हैं साहब आप, मज़ा आ गया 😂😂"
@Sanjatkumarjoshi1993-bu3gr,Such a wonderful talent
